500 500
574479339 1 639340418
473977254 3 234889625
656241982 1 685178558
59994193 1 834581171
160709310 2 124230700
208561989 1 834809468
734750633 1 844635402
619133668 9 76353761
774754222 2 618466046
438093278 1 733905814
412216826 1 608388510
257181060 11 24180689
328885769 2 249569479
792143595 3 369880075
270476308 1 774027425
314646478 1 537218336
77152017 1 742054287
159634152 1 437232479
152516219 1 606178380
640811088 2 509692043
102873846 1 567767395
381994450 2 381207812
904562255 2 863789818
369412834 1 600860480
171012242 1 815364069
885381883 2 518513140
570954672 11 56673267
788682571 5 165289382
464120079 2 421930843
494300913 1 683454585
807728986 2 643326084
466283176 15 32855443
435105530 3 198825268
466353807 2 264175508
195327509 4 54888159
824613515 17 49737378
175648078 1 279193900
789176633 2 742844415
86177305 1 546769448
918187009 2 478420221
953884863 2 670128546
916401671 3 351733949
77230618 1 107009576
34887266 1 240830878
845928426 16 54801222
156010463 3 64053586
862004394 3 395862882
442598604 2 386301766
473310586 1 671523267
41668567 1 789240309
456223891 2 446184800
534677988 1 696557955
626199304 4 188678845
817272594 2 664432841
162497338 1 884404118
507504190 2 352545335
914928339 3 446183897
903999208 3 311666373
250874096 1 830288158
945010809 16 61760501
229287486 11 21758490
188493431 1 192203188
466436998 4 133103273
149231996 1 888166567
952631826 2 503205380
16035439 1 138788585
481132204 3 161295488
69817780 1 509026463
522531733 1 948030193
893080971 3 407092596
723382172 2 565442072
18666898 1 991003795
323344999 3 138643970
298445654 2 273313364
707670094 2 484523174
172019365 1 644089794
585486897 4 181401296
17198835 1 707602874
41066225 1 179329123
609883602 1 722582479
30979703 1 310362724
639110646 3 275340147
367841941 4 93303132
568724083 1 604451529
786187863 40 20043705
165052330 1 992748146
622405340 1 911733051
77968892 1 246365107
10164971 1 853899515
955267088 26 37215912
87178929 1 851991239
652234540 3 222084835
321425847 1 371658231
488532101 3 216256205
506020864 1 948825637
871855687 2 746820370
644456923 2 420255261
630623502 1 947754018
402913677 1 784391295
729712230 10 74919445
294102727 1 461552589
24870144 1 199813974
250162436 1 970246814
970451857 2 581119337
928388664 9 105174900
966263123 6 188616279
459219657 1 733174516
323427164 1 809709030
64137345 1 563261443
151612168 1 843867628
599387512 1 831887744
85849890 1 907613916
941583769 2 841867948
145114098 1 632993184
951763766 4 245918142
389522531 1 723437626
306836532 8 38903576
476699628 4 119533812
878908899 2 591721449
234787267 1 992785115
156587669 1 773704342
462636378 1 496063105
564187239 1 611363602
30955279 1 860921157
560844144 2 439940300
652881767 2 410168176
772484470 2 730550288
150802135 1 233460419
36382900 1 81828670
334027807 1 686352191
105466955 1 728954372
239963550 1 706218582
789226751 15 53289262
614217242 2 534667007
19268639 1 301817296
146899439 1 404736628
449367576 1 647646331
42319553 1 141381000
437419422 1 439248090
352855329 2 294310170
791844584 5 188058954
268345626 1 680906978
423524460 2 361729190
442220310 2 258184453
415327457 2 314808754
191238213 1 380894185
55315124 1 159706617
395372220 1 708944205
218971567 2 138324692
691239665 2 545866780
47836116 1 443622466
329800833 1 467171387
288408440 1 969740160
941219867 2 912101626
890522349 2 467258191
104738655 1 797681526
182388961 1 515035678
440477081 3 215122181
157838883 1 597365708
382920380 1 867663487
789264307 1 854995251
875849500 2 503568696
877163001 8 121510971
805571413 1 990990668
792289847 1 828887768
255220327 1 551540713
280008130 1 952179392
916119601 5 216816529
805437615 11 76510333
53925608 1 829779903
842389067 1 953043744
355843901 14 26410857
195367207 1 584341426
929897386 2 901060064
299763451 1 647149157
323787735 1 923044440
753333158 5 154414614
676671716 9 77555784
290111679 1 429059390
832938370 1 921130288
589320039 4 180965061
183136736 3 73181470
42053396 1 616579905
973807142 4 306819032
676920719 2 575506540
833747333 2 575439717
692328837 3 262320279
608488924 3 238357813
506136608 6 97597693
188428065 1 367962030
81464596 1 848411655
498212724 2 266405260
327093504 1 339785127
178247115 1 554055190
98808066 1 319090366
889559810 13 71870827
543116805 1 641485702
902785553 2 626555780
193115904 1 232826926
734391449 2 564605681
735221437 4 239173523
676698419 1 972683929
677704114 2 508982579
269447119 4 88527379
234551684 2 201060231
248938910 1 337129881
760364760 7 118109805
552275890 3 243994940
835805063 26 32793790
706284091 3 336869127
702431367 2 550035593
885726227 3 384436414
685112143 2 390528045
822026791 2 464001513
760324177 8 98403261
236914830 1 725175039
88729911 1 235618047
773320569 10 79490970
649748503 4 164301954
611505497 1 723283153
821039690 17 48914414
783317453 21 39125220
536936380 1 771386511
874805329 7 128740347
665929855 2 440636133
942585754 12 84233948
986754465 3 454348331
184038824 1 343841574
887947769 6 163057380
792234269 6 133941453
839751595 2 751131157
824103974 3 390771329
978683446 3 428764991
345208915 1 399782040
158899819 1 303829190
2508453 1 518223993
176473405 1 958834179
675847393 1 887388869
172814210 3 71052111
547439334 4 177661612
519834459 2 307372218
173215176 1 207855146
611682267 2 424629295
940216198 4 290335220
169840778 1 220585317
796698741 2 708742041
275051751 1 778720792
932478037 8 126690836
441851405 6 75926894
870380032 1 913796163
484000286 2 262209577
471056798 2 323469416
341082936 3 149571798
240036737 1 589712451
249609896 2 247204907
172445360 1 733507376
765093654 2 571687262
900638583 2 832904547
116355253 1 966581574
326730311 2 174070095
76320402 1 834988737
882783555 1 951139950
119955770 2 101515246
129659899 1 595775961
517350215 1 696320955
729748726 1 759548809
995098631 3 400587357
994422861 2 656188107
476943260 1 947064568
427250148 2 352899325
579738995 2 406999381
873806097 4 262149157
126685152 1 129670680
735320745 5 162494282
867383288 2 684097562
332807793 1 801619850
648221634 1 795962422
989662284 25 41129584
37667268 1 529633226
382141152 1 695323544
380755777 1 493764345
893442951 2 711426765
978531856 2 715381504
153005849 1 461650133
755229201 2 603861351
727730807 2 723685948
655632448 1 872985532
911991283 3 442607154
292638991 1 293315009
104102862 1 746506399
6763684 1 217485077
745656863 4 208159897
455474610 1 958635640
743938946 2 671737423
180055788 97 1875264
873729448 2 720105022
112886255 1 970377741
70120006 1 641899474
110668786 1 269483455
219904057 2 171636397
185024751 1 462830989
247842078 1 446258591
244283418 1 888338787
746881388 63 11864955
798005888 2 768350018
205887025 1 671282153
653241947 2 357647558
147875916 1 400652704
374745963 1 639740105
722988727 2 439719745
15108106 1 226797022
410782594 17 24737310
